Customer_Key,Customer_Name,Birth_Date,Marital_Status,Gender,Yearly_Income,Total_Children,Number_of_Children_at_Home,Education,Occupation,House_Owner,Number_of_Cars_Owned,Date_of_First_Purchase,Customer_Type,Company_Name,Country,State
15547,"Bennett, Miguel",1978-06-26 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2002-11-02 00:00:00.000,"Person","","United States","California"
15558,"Morgan, Katelyn",1976-07-13 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-11-12 00:00:00.000,"Person","","United States","California"
15577,"Robinson, Kaitlyn",1975-01-10 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-12-02 00:00:00.000,"Person","","United States","California"
15578,"Edwards, Cindy",1975-02-02 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-12-03 00:00:00.000,"Person","","United States","California"
15579,"White, Jeremy",1975-10-25 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-04-30 00:00:00.000,"Person","","United States","California"
16468,"Coleman, Jackson",1978-03-16 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-06-23 00:00:00.000,"Person","","United States","California"
16479,"Alvarez, Sheila",1977-06-12 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-10-11 00:00:00.000,"Person","","United States","California"
17097,"Stewart, Alexandra",1978-11-19 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2001-09-15 00:00:00.000,"Person","","United States","California"
17098,"Barnes, Jennifer",1978-09-03 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2001-09-09 00:00:00.000,"Person","","United States","California"
17105,"Williams, Hannah",1977-08-21 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2004-06-01 00:00:00.000,"Person","","United States","California"
17107,"Williams, Chloe",1977-05-27 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-10-17 00:00:00.000,"Person","","United States","California"
17126,"Jackson, Dalton",1975-09-22 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2004-06-15 00:00:00.000,"Person","","United States","California"
17127,"Johnson, Anna",1975-01-12 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2003-10-11 00:00:00.000,"Person","","United States","California"
17128,"Price, Fernando",1975-06-18 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","1",2,2003-10-09 00:00:00.000,"Person","","United States","California"
18057,"Griffin, Angelica",1979-03-05 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","1",2,2001-12-11 00:00:00.000,"Person","","United States","California"
18060,"Perry, Jocelyn",1978-06-20 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2001-12-27 00:00:00.000,"Person","","United States","California"
18071,"Simmons, Arianna",1978-05-15 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2001-12-30 00:00:00.000,"Person","","United States","California"
18111,"Smith, Sydney",1973-04-11 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","1",2,2001-12-18 00:00:00.000,"Person","","United States","California"
54,"Price, Ana",1980-08-20 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-07-21 00:00:00.000,"Person","","United States","California"
66,"Henderson, Jessica",1973-10-09 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-08-14 00:00:00.000,"Person","","United States","California"
940,"Washington, Kevin",1977-06-22 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2002-05-13 00:00:00.000,"Person","","United States","California"
2032,"Shan, Hunter",1977-02-16 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-09-26 00:00:00.000,"Person","","United States","California"
2034,"Gonzalez, Xavier",1976-11-20 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-07-20 00:00:00.000,"Person","","United States","California"
2993,"Xie, Gregory",1978-06-06 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2002-07-07 00:00:00.000,"Person","","United States","California"
3018,"Rodriguez, Chloe",1980-11-22 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2002-08-01 00:00:00.000,"Person","","United States","California"
3025,"Moore, Hannah",1975-12-23 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2002-08-26 00:00:00.000,"Person","","United States","California"
3271,"Ross, James",1975-01-25 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2002-12-23 00:00:00.000,"Person","","United States","California"
3274,"Parker, Angel",1973-05-05 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-03-09 00:00:00.000,"Person","","United States","California"
3853,"Gonzalez, Adam",1978-11-13 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2002-04-06 00:00:00.000,"Person","","United States","California"
4006,"Cooper, Adrian",1978-09-20 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2002-06-18 00:00:00.000,"Person","","United States","California"
4014,"Campbell, Julia",1976-11-13 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-04 00:00:00.000,"Person","","United States","California"
4434,"Sharma, Adam",1978-08-18 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2002-12-07 00:00:00.000,"Person","","United States","California"
5338,"White, Jose",1977-07-06 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-05-29 00:00:00.000,"Person","","United States","California"
5921,"Stewart, Eduardo",1979-01-17 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-09-25 00:00:00.000,"Person","","United States","California"
5925,"Price, Julia",1978-11-05 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-10-23 00:00:00.000,"Person","","United States","California"
5926,"Patterson, Spencer",1978-07-21 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-10-11 00:00:00.000,"Person","","United States","California"
6490,"Evans, Jack",1977-11-21 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-30 00:00:00.000,"Person","","United States","California"
6491,"Moore, Grace",1977-09-08 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-05-08 00:00:00.000,"Person","","United States","California"
7362,"Simmons, Marcus",1979-12-26 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-04-09 00:00:00.000,"Person","","United States","California"
7367,"Richardson, Alexandria",1978-05-25 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-04-17 00:00:00.000,"Person","","United States","California"
7456,"Wu, Alejandro",1977-09-25 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-05-19 00:00:00.000,"Person","","United States","California"
7457,"Bailey, Timothy",1977-09-05 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-05-07 00:00:00.000,"Person","","United States","California"
7478,"Hughes, Angelica",1973-08-10 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-08-27 00:00:00.000,"Person","","United States","California"
7894,"White, Devin",1977-06-15 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-09-17 00:00:00.000,"Person","","United States","California"
7921,"Young, Jonathan",1973-05-19 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-07-21 00:00:00.000,"Person","","United States","California"
8671,"Gutierrez, Erik",1978-03-16 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-09-14 00:00:00.000,"Person","","United States","California"
8759,"Wright, Alex",1976-12-25 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-09-07 00:00:00.000,"Person","","United States","California"
8761,"Russell, Sydney",1976-05-02 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-27 00:00:00.000,"Person","","United States","California"
8778,"Thomas, Jonathan",1975-05-19 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-01-29 00:00:00.000,"Person","","United States","California"
9435,"Sharma, Nathan",1975-10-13 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-01-07 00:00:00.000,"Person","","United States","California"
9437,"Barnes, Anna",1975-04-26 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-01-31 00:00:00.000,"Person","","United States","California"
9438,"Howard, Gabriella",1975-10-12 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-01-13 00:00:00.000,"Person","","United States","California"
9440,"Rogers, Chloe",1973-04-04 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-08-28 00:00:00.000,"Person","","United States","California"
9441,"Hughes, Alexandra",1973-05-26 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-27 00:00:00.000,"Person","","United States","California"
10282,"Hill, Andrea",1978-02-27 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-04-30 00:00:00.000,"Person","","United States","California"
11062,"Goel, Jenny",1978-09-20 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-06-28 00:00:00.000,"Person","","United States","California"
11063,"Flores, Cameron",1978-04-28 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-06-22 00:00:00.000,"Person","","United States","California"
11166,"Perez, Aaron",1976-11-01 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-19 00:00:00.000,"Person","","United States","California"
11187,"Foster, Jonathan",1975-10-04 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-06-25 00:00:00.000,"Person","","United States","California"
12092,"Peterson, Richard",1977-02-06 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-05-27 00:00:00.000,"Person","","United States","California"
12111,"Gonzalez, Mackenzie",1975-09-26 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-27 00:00:00.000,"Person","","United States","California"
12112,"Wright, Sara",1975-01-17 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-29 00:00:00.000,"Person","","United States","California"
13263,"Thomas, Daniel",1977-03-16 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-12-26 00:00:00.000,"Person","","United States","California"
13296,"Barnes, Natalie",1973-03-26 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-06-11 00:00:00.000,"Person","","United States","California"
14009,"Perry, Haley",1978-05-20 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-06-21 00:00:00.000,"Person","","United States","California"
14015,"Reed, Juan",1978-08-16 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-06-12 00:00:00.000,"Person","","United States","California"
14045,"Bailey, Emma",1975-08-10 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-21 00:00:00.000,"Person","","United States","California"
14918,"Long, Kyle",1978-03-25 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2001-11-01 00:00:00.000,"Person","","United States","California"
14934,"Stewart, Dalton",1977-06-05 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-02-29 00:00:00.000,"Person","","United States","California"
14943,"Brooks, Brianna",1980-01-17 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2001-11-16 00:00:00.000,"Person","","United States","California"
14955,"Carter, Noah",1975-08-10 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-11-28 00:00:00.000,"Person","","United States","California"
14956,"Robinson, Anna",1975-05-16 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2001-12-20 00:00:00.000,"Person","","United States","California"
15546,"Ross, Taylor",1978-01-08 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","0",2,2002-11-15 00:00:00.000,"Person","","United States","California"
15555,"Garcia, Michael",1977-05-16 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2004-05-04 00:00:00.000,"Person","","United States","California"
16469,"Powell, Robert",1978-10-12 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-06-19 00:00:00.000,"Person","","United States","California"
16480,"Sanders, Kaitlyn",1977-03-11 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2003-09-29 00:00:00.000,"Person","","United States","California"
16509,"Edwards, James",1973-02-10 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-06-17 00:00:00.000,"Person","","United States","California"
17106,"Garcia, Hannah",1977-11-23 00:00:00.000,"M","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-03-13 00:00:00.000,"Person","","United States","California"
18059,"Reed, Olivia",1978-01-03 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2001-12-07 00:00:00.000,"Person","","United States","California"
18061,"Washington, David",1978-04-01 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2001-12-21 00:00:00.000,"Person","","United States","California"
18077,"Miller, Megan",1977-03-04 00:00:00.000,"S","F",60000,0,0,"Partial College","Skilled Manual","0",2,2004-06-18 00:00:00.000,"Person","","United States","California"
18080,"Rogers, Brian",1976-06-07 00:00:00.000,"M","M",60000,0,0,"Partial College","Skilled Manual","0",2,2003-08-01 00:00:00.000,"Person","","United States","California"
18109,"Evans, Seth",1975-06-22 00:00:00.000,"S","M",60000,0,0,"Partial College","Skilled Manual","0",2,2001-12-12 00:00:00.000,"Person","","United States","California"
963,"Roberts, Alexandra",1976-11-28 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","0",2,2004-02-12 00:00:00.000,"Person","","United States","California"
975,"Sun, Randy",1974-02-07 00:00:00.000,"S","M",60000,0,0,"Partial College","Professional","0",2,2004-05-02 00:00:00.000,"Person","","United States","California"
2074,"Lopez, Sydney",1976-01-12 00:00:00.000,"M","F",60000,0,0,"Partial College","Professional","1",2,2004-05-09 00:00:00.000,"Person","","United States","California"
2075,"Hughes, Grace",1976-09-12 00:00:00.000,"M","F",60000,0,0,"Partial College","Professional","1",2,2003-11-03 00:00:00.000,"Person","","United States","California"
3038,"Sara, Lydia",1974-04-22 00:00:00.000,"M","F",60000,0,0,"Partial College","Professional","1",2,2002-09-24 00:00:00.000,"Person","","United States","California"
3286,"Hughes, Taylor",1974-12-04 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","0",2,2002-12-01 00:00:00.000,"Person","","United States","California"
4191,"Watson, Katherine",1974-08-19 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","0",2,2004-06-07 00:00:00.000,"Person","","United States","California"
5656,"Taylor, Destiny",1976-03-26 00:00:00.000,"M","F",60000,0,0,"Partial College","Professional","1",2,2004-03-16 00:00:00.000,"Person","","United States","California"
5674,"Guo, Curtis",1974-05-08 00:00:00.000,"S","M",60000,0,0,"Partial College","Professional","0",2,2003-12-31 00:00:00.000,"Person","","United States","California"
6508,"Robinson, Alexis",1973-08-15 00:00:00.000,"M","F",60000,0,0,"Partial College","Professional","1",2,2004-02-02 00:00:00.000,"Person","","United States","California"
6521,"Baker, Marcus",1974-09-03 00:00:00.000,"S","M",60000,0,0,"Partial College","Professional","1",2,2004-04-11 00:00:00.000,"Person","","United States","California"
8806,"Butler, Mariah",1974-08-06 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","0",2,2003-12-25 00:00:00.000,"Person","","United States","California"
8807,"Perez, Nancy",1974-02-22 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","1",2,2004-02-27 00:00:00.000,"Person","","United States","California"
9444,"Cox, Adrian",1976-04-08 00:00:00.000,"S","M",60000,0,0,"Partial College","Professional","0",2,2004-04-06 00:00:00.000,"Person","","United States","California"
9450,"Walker, Rachel",1976-04-07 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","0",2,2004-01-11 00:00:00.000,"Person","","United States","California"
9459,"Subram, Erick",1974-11-14 00:00:00.000,"M","M",60000,0,0,"Partial College","Professional","1",2,2003-10-31 00:00:00.000,"Person","","United States","California"
10417,"Butler, Ryan",1974-04-18 00:00:00.000,"S","M",60000,0,0,"Partial College","Professional","0",2,2004-04-23 00:00:00.000,"Person","","United States","California"
10418,"Torres, Gabrielle",1974-07-04 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","0",2,2004-04-23 00:00:00.000,"Person","","United States","California"
11191,"Richardson, Carlos",1976-02-18 00:00:00.000,"S","M",60000,0,0,"Partial College","Professional","0",2,2004-04-24 00:00:00.000,"Person","","United States","California"
12116,"Nicholls, Stephanie",1976-07-17 00:00:00.000,"S","F",60000,0,0,"Partial College","Professional","1",2,2003-09-03 00:00:00.000,"Person","","United States","California"
12127,"Van, Carolyn",1974-06-07 00:00:00.000,"M","F",60000,0,0,"Partial College","Professional","0",2,2004-06-12 00:00:00.000,"Person","","United States","California"
12355,"Gomez, Eddie",1974-07-22 00:00:00.000,"S","M",60000,0,0,"Partial College","Professional","1",2,2003-09-01 00:00:00.000,"Person","","United States","California"
